"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence Annexe au Règlement d’exécution 2024/2690 (1)";"Contenu Annexe au Règlement d’exécution 2024/2690 (1)";"Référence Annexe au Règlement d’exécution 2024/2690 (2)";"Contenu Annexe au Règlement d’exécution 2024/2690 (2)";"Référence Annexe au Règlement d’exécution 2024/2690 (3)";"Contenu Annexe au Règlement d’exécution 2024/2690 (3)";"Référence Annexe au Règlement d’exécution 2024/2690 (4)";"Contenu Annexe au Règlement d’exécution 2024/2690 (4)";"Référence Annexe au Règlement d’exécution 2024/2690 (5)";"Contenu Annexe au Règlement d’exécution 2024/2690 (5)";"Référence Annexe au Règlement d’exécution 2024/2690 (6)";"Contenu Annexe au Règlement d’exécution 2024/2690 (6)"
"5.B.2-EI/EE";"L’entité maintient à jour les bases de connaissances des outils de protection contre les codes malveillants qu’elle utilise (par exemple : la mise à jour de la base antivirale de l’antivirus, la mise à jour des signatures utilisées par la solution d’EDR).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";;"faible";"Le règlement d'exécution ne prévoit pas explicitement le maintien à jour des bases de connaissances des outils de protection contre les codes malveillants.";;;;;;;;;;;;
"5.B.3-EI/EE";"L’entité met en œuvre une veille sur les vulnérabilités, les correctifs de sécurité et les mesures d’atténuation préconisées susceptibles de concerner les ressources de ses systèmes d’information, qui sont diffusées notamment par les fournisseurs ou les fabricants de ces ressources, par un prestataire mandaté ou par des centres de prévention et d’alerte en matière de cyber sécurité tels que le CERT-FR (centre gouvernemental de veille, d’alerte et de réponse aux attaques informatiques) ou les CSIRT (centres de réponse aux incidents de sécurité informatique).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";;"élevé";;"4.3.3";"Les entités concernées appliquent une procédure de gestion et d’utilisation des informations reçues des CSIRT ou, s’il y a lieu, des autorités compétentes, concernant les incidents, les vulnérabilités, les menaces ou les éventuelles mesures d’atténuation.";"6.10.1";"Les entités concernées obtiennent des informations sur les vulnérabilités techniques de leurs réseaux et systèmes d’information, évaluent leur exposition à ces vulnérabilités et prennent les mesures appropriées pour gérer ces vulnérabilités.";"6.10.2";"Aux fins du point 6.10.1, les entités concernées:
a) surveillent les informations sur les vulnérabilités par des canaux appropriés, tels que les annonces des CSIRT ou des autorités compétentes ou les informations fournies par les fournisseurs ou les prestataires de services;
b) effectuent, s’il est besoin, des analyses de vulnérabilité et consignent les résultats des analyses, à intervalles prédéfinis;
c) remédient, dans les meilleurs délais, aux vulnérabilités qu'elles identifient comme étant critiques pour leurs opérations;
d) veillent à ce que leur gestion des vulnérabilités soit compatible avec leurs procédures de gestion des changements, de gestion des correctifs de sécurité, de gestion des risques et de gestion des incidents;
e) établissent une procédure de divulgation des vulnérabilités conformément à la politique nationale applicable en matière de divulgation coordonnée des vulnérabilités.";;;;;;
"5.B.4-EI/EE";"L’entité met en œuvre, au regard de la nature de la vulnérabilité :
•	sans délai : les actions visant à l’installation des correctifs de sécurité (par exemple : le déploiement en environnement de test, pré-production et production, mécanismes de rollback) ;
•	sans retard injustifié : l’application effective des correctifs de sécurité après la réalisation des actions précédentes
sur les ressources exposées à des systèmes d’information tiers (par exemple : un serveur Web, un pare-feu exposé sur Internet, un serveur de messagerie) et les postes de travail des utilisateurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";"Le règlement d'exécution prévoit de nombreuses mesures relatives à la correction des vulnérabilités mais ne précise pas explicitement, à l'inverse du référentiel NIS 2, la temporalité de leur application.";"6.3.1";"Les entités concernées prennent les mesures appropriées pour établir, documenter, mettre en œuvre et surveiller les configurations, y compris les configurations de sécurité du matériel, des logiciels, des services et des réseaux.";"6.3.2";"Aux fins du point 6.3.1, les entités concernées:
a) définissent et appliquent des configurations de sécurité pour leur matériel, leurs logiciels, leurs services et leurs réseaux;
b) définissent et utilisent des procédures et des outils pour assurer le respect des configurations sécurisées définies pour le matériel, les logiciels, les services et les réseaux, pour les systèmes récemment installés ainsi que pour les systèmes déjà en exploitation, pendant toute leur durée de vie.";"6.3.3";"Les entités concernées réexaminent et, s’il est besoin, mettent à jour les configurations à intervalles prédéfinis, ou en cas d’incidents importants ou lorsque des changements majeurs concernant les opérations ou les risques se produisent.";"6.6.1";"Les entités concernées précisent et appliquent des procédures compatibles avec les procédures de gestion des changements visées au point 6.4.1, ainsi qu’avec la gestion des vulnérabilités, la gestion des risques et d’autres procédures de gestion pertinentes, pour garantir que:
a) les correctifs de sécurité sont appliqués dans un délai raisonnable après leur mise à disposition;
b) les correctifs de sécurité sont testés avant d’être appliqués dans les systèmes de production;
c) les correctifs de sécurité proviennent de sources fiables et font l’objet d’un contrôle d’intégrité;
d) des mesures supplémentaires sont mises en œuvre et que les risques résiduels sont acceptés lorsqu’un correctif n’est pas disponible ou n’est pas appliqué conformément au point 6.6.2.";"6.10.1";"Les entités concernées obtiennent des informations sur les vulnérabilités techniques de leurs réseaux et systèmes d’information, évaluent leur exposition à ces vulnérabilités et prennent les mesures appropriées pour gérer ces vulnérabilités.";"6.10.2";"Aux fins du point 6.10.1, les entités concernées:
a) surveillent les informations sur les vulnérabilités par des canaux appropriés, tels que les annonces des CSIRT ou des autorités compétentes ou les informations fournies par les fournisseurs ou les prestataires de services;
b) effectuent, s’il est besoin, des analyses de vulnérabilité et consignent les résultats des analyses, à intervalles prédéfinis;
c) remédient, dans les meilleurs délais, aux vulnérabilités qu'elles identifient comme étant critiques pour leurs opérations;
d) veillent à ce que leur gestion des vulnérabilités soit compatible avec leurs procédures de gestion des changements, de gestion des correctifs de sécurité, de gestion des risques et de gestion des incidents;
e) établissent une procédure de divulgation des vulnérabilités conformément à la politique nationale applicable en matière de divulgation coordonnée des vulnérabilités."
"5.B.5-EE";"L’entité planifie et installe sur l’ensemble de ses ressources, y compris celles non exposées à des systèmes d’information tiers, les correctifs de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteEssentielle";"élevé";;"6.6.1";"Les entités concernées précisent et appliquent des procédures compatibles avec les procédures de gestion des changements visées au point 6.4.1, ainsi qu’avec la gestion des vulnérabilités, la gestion des risques et d’autres procédures de gestion pertinentes, pour garantir que:
a) les correctifs de sécurité sont appliqués dans un délai raisonnable après leur mise à disposition;
b) les correctifs de sécurité sont testés avant d’être appliqués dans les systèmes de production;
c) les correctifs de sécurité proviennent de sources fiables et font l’objet d’un contrôle d’intégrité;
d) des mesures supplémentaires sont mises en œuvre et que les risques résiduels sont acceptés lorsqu’un correctif n’est pas disponible ou n’est pas appliqué conformément au point 6.6.2.";;;;;;;;;;
"5.B.6-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation des correctifs de sécurité sur les ressources concernées, l’entité met en œuvre des mesures d’atténuation pour réduire les risques liés à l’utilisation d’une version comportant des vulnérabilités connues (par exemple : isoler la ressource du reste du SI, mettre en place un contrôle d'accès renforcé).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"6.6.1";"Les entités concernées précisent et appliquent des procédures compatibles avec les procédures de gestion des changements visées au point 6.4.1, ainsi qu’avec la gestion des vulnérabilités, la gestion des risques et d’autres procédures de gestion pertinentes, pour garantir que:
a) les correctifs de sécurité sont appliqués dans un délai raisonnable après leur mise à disposition;
b) les correctifs de sécurité sont testés avant d’être appliqués dans les systèmes de production;
c) les correctifs de sécurité proviennent de sources fiables et font l’objet d’un contrôle d’intégrité;
d) des mesures supplémentaires sont mises en œuvre et que les risques résiduels sont acceptés lorsqu’un correctif n’est pas disponible ou n’est pas appliqué conformément au point 6.6.2.";"6.6.2";"Par dérogation au point 6.6.1 a), les entités concernées peuvent choisir de ne pas appliquer de correctifs de sécurité lorsque les inconvénients de leur application l’emportent sur les avantages en matière de cybersécurité. Les entités concernées documentent et justifient dûment les motifs d’un tel choix.";;;;;;;;
"5.B.7-EI/EE";"L’entité met en œuvre sans délai les actions visant à l’installation et le maintien à jour des ressources logicielles de ses systèmes d’information, y compris les logiciels embarqués, dans des versions bénéficiant d’un support par leurs fournisseurs ou leurs fabricants et comportant les mises à jour de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"moyen";"Le règlement d'exécution ne précise pas que les versions installées des ressources logicielles doivent obligatoirement être supportées par les fournisseurs ou fabricants.";"6.4.1";"Les entités concernées appliquent des procédures de gestion des changements pour encadrer les changements de réseaux et de systèmes d’information. S’il y a lieu, les procédures sont compatibles avec la politique générale des entités concernées en matière de gestion des changements.";"6.6.1";"Les entités concernées précisent et appliquent des procédures compatibles avec les procédures de gestion des changements visées au point 6.4.1, ainsi qu’avec la gestion des vulnérabilités, la gestion des risques et d’autres procédures de gestion pertinentes, pour garantir que:
a) les correctifs de sécurité sont appliqués dans un délai raisonnable après leur mise à disposition;
b) les correctifs de sécurité sont testés avant d’être appliqués dans les systèmes de production;
c) les correctifs de sécurité proviennent de sources fiables et font l’objet d’un contrôle d’intégrité;
d) des mesures supplémentaires sont mises en œuvre et que les risques résiduels sont acceptés lorsqu’un correctif n’est pas disponible ou n’est pas appliqué conformément au point 6.6.2.";;;;;;;;
"5.B.8-EI/EE";"L’entité vérifie que toute nouvelle version d’un logiciel est téléchargée depuis les ressources officielles mises à disposition par les éditeurs ou les fournisseurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"faible";"Le règlement d'exécution ne précise pas que les nouvelles versions d'un logiciel doivent obligatoirement être téléchargées depuis des ressources officielles.";;;;;;;;;;;;
"5.B.9-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation d’une version supportée par le fournisseur ou l’éditeur, l’entité met en œuvre des mesures pour réduire les risques liés à l’utilisation d’une version obsolète.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"2.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, les entités concernées établissent et maintiennent un cadre approprié pour la gestion des risques afin d'identifier les risques pour la sécurité des réseaux et des systèmes d’information et d’y apporter une réponse. Les entités concernées réalisent des évaluations des risques, qu’elles consignent, et, sur la base des résultats obtenus, elles établissent, mettent en œuvre et suivent un plan de traitement des risques. Les résultats de l’évaluation des risques et les risques résiduels sont approuvés par les organes de direction ou, s’il y a lieu, par des personnes qui sont tenues de rendre des comptes et sont habilitées à gérer les risques, à condition que les entités concernées fassent rapport de manière adéquate aux organes de direction.";"2.1.2";"Aux fins du point 2.1.1, les entités concernées établissent des procédures d’identification, d’analyse, d’évaluation et de traitement des risques (ci-après la «procédure de gestion des risques de cybersécurité»). La procédure de gestion des risques de cybersécurité fait partie intégrante de la procédure globale de gestion des risques des entités concernées, s’il y a lieu. Dans le cadre de la procédure de gestion des risques de cybersécurité, les entités concernées:
a) suivent une méthodologie de gestion des risques;
b) établissent le niveau de tolérance au risque en fonction de leur propension au risque;
c) définissent et maintiennent les critères de risque pertinents;
d) en suivant une approche «tous risques», identifient et consignent les risques pour la sécurité des réseaux et des systèmes d’information, en particulier en ce qui concerne les tiers et les risques susceptibles de perturber la disponibilité, l’intégrité, l’authenticité et la confidentialité des réseaux et des systèmes d’information, y compris l’identification de points uniques de défaillance;
e) analysent les risques qui pèsent sur la sécurité des réseaux et des systèmes d’information, y compris la menace, la probabilité, l’impact et le niveau de risque, en tenant compte des renseignements sur les cybermenaces et des vulnérabilités;
f) évaluent les risques identifiés en se fondant sur les critères de risque;
g) déterminent et hiérarchisent les options et les mesures qu’il convient d’appliquer en matière de traitement des risques;
h) suivent en continu la mise en œuvre des mesures de traitement du risque;
i) déterminent qui est responsable de la mise en œuvre des mesures de traitement des risques et quand celles-ci devraient être mises en œuvre;
j) consignent de manière compréhensible dans un plan de traitement des risques les mesures de traitement des risques choisies et les raisons justifiant l’acceptation des risques résiduels.";;;;;;;;
"6.1-EI/EE";"L’entité met en place des mesures de sécurité permettant de limiter l’accès de personnes non autorisées à ses locaux, ses salles serveurs et ses locaux techniques (par exemple : tenue d’un registre des visiteurs, badges d’accès, etc).";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle";"élevé";;"13.3.1";"Aux fins de l’article 21, paragraphe 2, point i), de la directive (UE) 2022/2555, les entités concernées préviennent et surveillent l’accès physique non autorisé, les dommages et les interférences affectant leurs réseaux et leurs systèmes d’information.";;;;;;;;;;
"6.2-EE";"L’entité s’assure de la protection physique des locaux, salles serveurs et locaux techniques (par exemple : vidéosurveillance, gardiennage, alarme).
Cette protection physique permet de prévenir, de surveiller et de réagir aux accès non autorisés à ces locaux.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle";"élevé";;"13.3.2";"À cette fin, les entités concernées:
a) établissent et utilisent, sur la base de l’évaluation des risques effectuée conformément au point 2.1, des périmètres de sécurité pour protéger les zones où sont situés les réseaux et systèmes d’information et autres actifs associés;
b) protègent les zones visées au point a) par des contrôles à l’entrée et des points d’accès appropriés;
c) conçoivent et mettent en œuvre la sécurité physique des bureaux, des salles et des installations;
d) surveillent en permanence leurs locaux dans l'hypothèse d’un accès physique non autorisé.";;;;;;;;;;
"6.3-EE";"L’entité s’assure que les droits d'accès physique sont attribués au regard du besoin strictement nécessaire à l’exécution des missions des personnes.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle";"faible";"Le règlement d'exécution prévoit des mesures dédiées à la sécurisation des accès physiques aux SI des entités, sans pour autant prévoit que l'attribution de ces droits d'accès s'appuie sur le principe du besoin des personnes à disposer de ces accès. ";;;;;;;;;;;;
"6.4-EI/EE";"L'entité s'assure que les personnes externes accédant aux locaux techniques et salles serveurs de l’entité sont accompagnées ou dûment autorisées.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle";"faible";"Le règlement d'exécution ne prévoit pas de mesure spécifique à l'accès physique des personnes externes aux entités.";;;;;;;;;;;;
"7.A.1-EI/EE";"L’entité cloisonne physiquement et/ou logiquement l’ensemble de ses systèmes d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et les systèmes d’information tiers (par exemple : cloisonnement logique par VLAN – réseau local virtuel - (réseau), par VM – machine virtuelle - (calcul) ou par volume (stockage)).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle";"élevé";;"6.7.1";"Les entités concernées prennent les mesures appropriées pour protéger leurs réseaux et systèmes d’information contre les cybermenaces.";"6.7.2";"Aux fins du point 6.7.1, les entités concernées:
a) consignent des informations compréhensibles et actualisées sur l’architecture du réseau;
b) déterminent et appliquent des contrôles pour protéger les domaines de réseau internes des entités concernées contre tout accès non autorisé;
c) configurent les contrôles pour empêcher les accès et la communication par réseau qui ne sont pas nécessaires au fonctionnement des entités concernées;
d) déterminent et appliquent des contrôles pour l’accès à distance aux réseaux et aux systèmes d’information, y compris l’accès par des prestataires de services;
e) n’utilisent pas à d’autres fins les systèmes utilisés pour la gestion de la mise en œuvre de la politique de sécurité;
f) interdisent explicitement ou désactivent les connexions et les services non nécessaires;
g) s’il est besoin, autorisent exclusivement l’accès aux réseaux et aux systèmes d’information des entités concernées au moyen de dispositifs autorisés par ces entités;
h) n’autorisent les connexions de prestataires de services qu’à la suite d’une demande d’autorisation et pour une durée déterminée, telle que la durée d’une opération de maintenance;
i) établissent une communication entre des systèmes distincts uniquement par des canaux de confiance isolés des autres canaux de communication au moyen d’une séparation logique, cryptographique ou physique et prévoient une identification assurée de leurs points terminaux et la protection des données du canal contre toute modification ou divulgation;
j) adoptent un plan de mise en œuvre pour la transition complète vers des protocoles de communication de la dernière génération au niveau de la couche réseau d’une manière sûre, appropriée et progressive, et prennent des mesures pour accélérer cette transition;
k) adoptent un plan de mise en œuvre pour le déploiement de normes de communication par courrier électronique modernes, reconnues et interopérables au niveau international, afin de sécuriser les communications par courrier électronique de manière à atténuer les vulnérabilités dues aux menaces liées au courrier électronique et prennent des mesures pour accélérer ce déploiement;
l) appliquent les meilleures pratiques en matière de sécurité du DNS, de sécurité du routage sur internet et d’hygiène du routage pour le trafic en provenance et à destination du réseau.";"6.8.1";"Les entités concernées segmentent les systèmes en réseaux ou en zones conformément aux résultats de l’évaluation des risques visée au point 2.1. Elles segmentent leurs systèmes et réseaux en les isolant des systèmes et réseaux de tiers.";;;;;;
"7.A.2-EE";"L’entité cloisonne physiquement et/ou logiquement chaque système d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et des systèmes d’information tiers (par exemple : un système d’information est cloisonné logiquement des autres systèmes d’information de l’entité. Il est aussi cloisonné physiquement des systèmes d’information de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"élevé";;"6.8.1";"Les entités concernées segmentent les systèmes en réseaux ou en zones conformément aux résultats de l’évaluation des risques visée au point 2.1. Elles segmentent leurs systèmes et réseaux en les isolant des systèmes et réseaux de tiers.";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;;;;;
"7.A.3-EE";"L’entité mène des réflexions, pour chaque système d’information, sur la pertinence de définir des sous-systèmes. Lorsqu’elle n’identifie aucun sous-système, l’entité en apporte la justification.
Un sous-système regroupe des ressources assurant des fonctionnalités similaires et ayant des niveaux de sensibilité, d’exposition et de sécurité homogènes.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"moyen";"Le règlement d'exécution n'emploie pas le terme de ""sous-systèmes"" tel qu'utilisé dans le référentiel NIS 2. Toutefois, le règlement d'exécution prévoit bien pour la segmentation du système d'information en ""zones""";"6.8.1";"Les entités concernées segmentent les systèmes en réseaux ou en zones conformément aux résultats de l’évaluation des risques visée au point 2.1. Elles segmentent leurs systèmes et réseaux en les isolant des systèmes et réseaux de tiers.";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;;;;;
"7.A.4-EE";"Les sous-systèmes identifiés à la mesure 7.A.4-EE sont cloisonnés entre eux physiquement et/ou logiquement.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"moyen";"Le règlement d'exécution n'emploie pas le terme de ""sous-systèmes"" tel qu'utilisé dans le référentiel NIS 2. Toutefois, le règlement d'exécution prévoit bien pour la segmentation du système d'information en ""zones"" et une cloisonnement entre ces différentes zones";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;;;;;;;
"7.A.5-EE";"L’entité met en œuvre au moins un sous-système “passerelle sortante” permettant :
•	aux ressources de ses systèmes d’information d’accéder aux systèmes d’informations tiers ;
•	d’authentifier, de filtrer et de tracer les accès aux systèmes d’information tiers (par exemple : un serveur mandataire).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"moyen";"Le référentiel NIS 2 précise le rôle des passerelles, qui permettent de filtrer, authentifier et tracer les accès aux SI tiers. Le règlement d'exécution, lui, ne mentionne que la sécurisation des communications via des DMZ.";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;;;;;;;
"7.A.6-EE";"L’entité met en œuvre au moins un sous-système “passerelle entrante” permettant :
•	d’exposer des ressources de ses systèmes d’information aux systèmes d’information tiers ;
•	de filtrer et de tracer les accès depuis des systèmes d’information tiers (par exemple : un serveur mandataire inverse ou un relai).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle";"moyen";"Le référentiel NIS 2 précise le rôle des passerelles, qui permettent de filtrer, authentifier et tracer les accès aux SI tiers. Le règlement d'exécution, lui, ne mentionne que la sécurisation des communications via des DMZ.";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;;;;;;;
"7.A.7-EI/EE";"Seules les interconnexions nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité sont mises en œuvre entre l’ensemble des systèmes d’information et, d’une part les systèmes d’information tiers et, d’autre part les autres systèmes d’information sous la responsabilité de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle";"élevé";;"6.7.1";"Les entités concernées prennent les mesures appropriées pour protéger leurs réseaux et systèmes d’information contre les cybermenaces.";"6.7.2";"Aux fins du point 6.7.1, les entités concernées:
a) consignent des informations compréhensibles et actualisées sur l’architecture du réseau;
b) déterminent et appliquent des contrôles pour protéger les domaines de réseau internes des entités concernées contre tout accès non autorisé;
c) configurent les contrôles pour empêcher les accès et la communication par réseau qui ne sont pas nécessaires au fonctionnement des entités concernées;
d) déterminent et appliquent des contrôles pour l’accès à distance aux réseaux et aux systèmes d’information, y compris l’accès par des prestataires de services;
e) n’utilisent pas à d’autres fins les systèmes utilisés pour la gestion de la mise en œuvre de la politique de sécurité;
f) interdisent explicitement ou désactivent les connexions et les services non nécessaires;
g) s’il est besoin, autorisent exclusivement l’accès aux réseaux et aux systèmes d’information des entités concernées au moyen de dispositifs autorisés par ces entités;
h) n’autorisent les connexions de prestataires de services qu’à la suite d’une demande d’autorisation et pour une durée déterminée, telle que la durée d’une opération de maintenance;
i) établissent une communication entre des systèmes distincts uniquement par des canaux de confiance isolés des autres canaux de communication au moyen d’une séparation logique, cryptographique ou physique et prévoient une identification assurée de leurs points terminaux et la protection des données du canal contre toute modification ou divulgation;
j) adoptent un plan de mise en œuvre pour la transition complète vers des protocoles de communication de la dernière génération au niveau de la couche réseau d’une manière sûre, appropriée et progressive, et prennent des mesures pour accélérer cette transition;
k) adoptent un plan de mise en œuvre pour le déploiement de normes de communication par courrier électronique modernes, reconnues et interopérables au niveau international, afin de sécuriser les communications par courrier électronique de manière à atténuer les vulnérabilités dues aux menaces liées au courrier électronique et prennent des mesures pour accélérer ce déploiement;
l) appliquent les meilleures pratiques en matière de sécurité du DNS, de sécurité du routage sur internet et d’hygiène du routage pour le trafic en provenance et à destination du réseau.";"6.8.1";"Les entités concernées segmentent les systèmes en réseaux ou en zones conformément aux résultats de l’évaluation des risques visée au point 2.1. Elles segmentent leurs systèmes et réseaux en les isolant des systèmes et réseaux de tiers.";"6.8.2";"À cette fin, les entités concernées:
a) prennent en considération le lien fonctionnel, logique et physique, y compris la localisation, entre systèmes et services de confiance;
b) accordent l’accès à un réseau ou à une zone sur la base d’une évaluation de ses exigences en matière de sécurité;
c) conservent les systèmes critiques pour leur exploitation ou pour la sécurité dans les zones sécurisées;
d) déploient une zone démilitarisée au sein de leurs réseaux de communication pour assurer une communication sécurisée en provenance ou à destination de leurs réseaux;
e) limitent l’accès et les communications entre les zones et à l’intérieur de celles-ci à ce qui est nécessaire à leur fonctionnement ou à la sécurité;
f) séparent, d’une part, le réseau consacré à l’administration des réseaux et des systèmes d’information et, d’autre part, leur réseau opérationnel;
g) séparent les canaux d’administration du réseau des autres types de trafic réseau;
h) séparent leurs systèmes de production de services des systèmes utilisés pour le développement et les tests, y compris les sauvegardes.";;;;
